"GSM_ID","MRS","StromalScore","ImmuneScore","ESTIMATEScore","TumorPurity"
"GSM437231","MRS-high","269.3395144","504.4354857","773.7750001","  0.7527489"
"GSM437232","MRS-low","-575.1348066"," 541.2764767"," -33.8583298","   0.8253259"
"GSM437233","MRS-high"," 339.5186436"," 768.0285187","1107.5471622","   0.7196055"
"GSM437234","MRS-high"," 987.3758489","1367.7427093","2355.1185582","   0.5811206"
"GSM437235","MRS-high"," 769.4335050","1064.6932351","1834.1267401","   0.6415986"
"GSM437236","MRS-high","-722.1325683"," 280.3298670","-441.8027013","   0.8576389"
"GSM437237","MRS-low","-295.517858"," 523.420216"," 227.902357","   0.803026"
"GSM437238","MRS-low","-72.7630493","677.9441872","605.1811379","  0.7688083"
"GSM437239","MRS-high","213.7318062","718.5950265","932.3268327","  0.7372253"
"GSM437240","MRS-high","-375.8139096"," 446.6439738","  70.8300642","   0.8165517"
"GSM437241","MRS-high","276.6677440","527.4624984","804.1302424","  0.7498082"
"GSM437242","MRS-high"," 75.8230143","243.2589795","319.0819939","  0.7949782"
"GSM437243","MRS-high"," 419.081130"," 781.519202","1200.600332","   0.710054"
"GSM437244","MRS-high","-275.8959966","  -3.0008169","-278.8968136","   0.8450977"
"GSM437245","MRS-high","  84.2591976"," 977.7129994","1061.9721969","   0.7242347"
"GSM437246","MRS-high","-620.8642208"," 540.9494124"," -79.9148084","   0.8291244"
"GSM437247","MRS-high","372.3235485","458.1480002","830.4715487","  0.7472442"
"GSM437248","MRS-low","-1109.0420512","   -6.0775342","-1115.1195854","    0.9041969"
"GSM437249","MRS-low","-529.5109677"," 749.0821829"," 219.5712152","   0.8037542"
"GSM437250","MRS-high","1026.644980","1747.305944","2773.950924","   0.530021"
"GSM437251","MRS-low"," 739.7286334","1337.9177695","2077.6464029","   0.6137761"
"GSM437252","MRS-low","-806.6334802","1088.1816559"," 281.5481757","   0.7983084"
"GSM437253","MRS-high","-1041.6833863"," -167.5519963","-1209.2353827","    0.9100111"
"GSM437254","MRS-high"," 260.8679701","2065.6862507","2326.5542208","   0.5845278"
"GSM437255","MRS-low","-664.087840","1423.211368"," 759.123528","   0.754163"
"GSM437256","MRS-low","-380.8087120","1395.3986926","1014.5899806","   0.7290131"
"GSM437257","MRS-high"," 921.3872136","1371.7532226","2293.1404362","   0.5885003"
"GSM437258","MRS-high","-462.8033144","1230.1278476"," 767.3245331","   0.7533719"
"GSM437259","MRS-high","-246.2430173"," 964.4387299"," 718.1957127","   0.7580946"
"GSM437260","MRS-high"," -61.5168800","1661.8085718","1600.2916918","   0.6675436"
"GSM437261","MRS-low","-702.0738886","1001.3252337"," 299.2513450","   0.7967407"
"GSM437262","MRS-low"," 373.3753085"," 708.5614609","1081.9367694","   0.7222108"
"GSM437263","MRS-high"," 730.4408897","1277.7336335","2008.1745232","   0.6217949"
"GSM437264","MRS-high","-622.3359170"," 341.5654816","-280.7704354","   0.8452447"
"GSM437265","MRS-high"," 914.0390053","1305.7114086","2219.7504139","   0.5971758"
"GSM437266","MRS-low"," 170.2508182","2060.8372500","2231.0880682","   0.5958401"
"GSM437267","MRS-high"," 17.1302797","950.8465019","967.9767815","  0.7336796"
